trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
737,False,"{'a': 0.3, 'e': 0.000629868179097574}",20,6,25.06126981880466,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.3, 'e': 0.0006236008859994445}",25,4,35.25378217183407,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.3, 'e': 0.0006173959535095834}",20,5,17.3429063507142,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
740,False,"{'a': 0.3, 'e': 0.0006112527611295723}",20,10,18.54487683544709,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.3, 'e': 0.0006051706945350532}",25,11,20.478041389882183,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.3, 'e': 0.0005991491455142981}",25,14,19.986820480797967,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,False,"{'a': 0.3, 'e': 0.000593187511907387}",20,13,12.13012870220113,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
744,False,"{'a': 0.3, 'e': 0.0005872851975459907}",30,10,31.114895760516287,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.3, 'e': 0.0005814416121937556}",20,12,15.954465561007886,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
746,False,"{'a': 0.3, 'e': 0.0005756561714872761}",30,0,48.19664596911424,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
747,False,"{'a': 0.3, 'e': 0.0005699282968776604}",25,17,13.79973863122665,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.3, 'e': 0.0005642574155726738}",25,3,34.79507037543199,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.3, 'e': 0.0005586429604794611}",30,7,39.28753318203402,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.3, 'e': 0.0005530843701478336}",25,0,36.2039400821939,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
751,False,"{'a': 0.3, 'e': 0.0005475810887141261}",20,9,21.254435848113893,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.3, 'e': 0.0005421325658456086}",25,13,22.58361614114491,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.3, 'e': 0.0005367382566854548}",20,0,33.87057699958409,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
754,False,"{'a': 0.3, 'e': 0.0005313976217982529}",25,4,35.765118681125216,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
755,False,"{'a': 0.3, 'e': 0.0005261101271160638}",20,3,30.074227008335033,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.3, 'e': 0.0005208752438850122}",30,18,22.809611193216732,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
757,False,"{'a': 0.3, 'e': 0.0005156924486124138}",20,11,20.554182568351514,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
758,False,"{'a': 0.3, 'e': 0.0005105612230144218}",35,15,31.204668436174547,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,False,"{'a': 0.3, 'e': 0.0005054810539642003}",30,0,51.34737352463784,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
760,False,"{'a': 0.3, 'e': 0.0005004514334406104}",20,0,30.96804054839979,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
761,False,"{'a': 0.3, 'e': 0.0004954718584774093}",20,4,26.776553807395157,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
762,False,"{'a': 0.3, 'e': 0.0004905418311129505}",20,14,8.8854174292123,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
763,False,"{'a': 0.3, 'e': 0.0004856608583403892}",30,22,14.948686660489418,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
764,False,"{'a': 0.3, 'e': 0.0004808284520583803}",25,2,34.4143351903421,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
765,False,"{'a': 0.3, 'e': 0.00047604412902226933}",20,0,29.897374498677586,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
766,False,"{'a': 0.3, 'e': 0.00047130741079576537}",20,2,30.514764146560232,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,False,"{'a': 0.3, 'e': 0.0004666178237030984}",25,13,25.684627188354533,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.3, 'e': 0.0004619748987816513}",20,2,26.334833687912354,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
769,False,"{'a': 0.3, 'e': 0.0004573781717350623}",25,15,18.52020310322798,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,False,"{'a': 0.3, 'e': 0.00045282718288679695}",20,7,23.32039000364386,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
771,False,"{'a': 0.3, 'e': 0.00044832147713417755}",20,10,20.859271621673226,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
772,False,"{'a': 0.3, 'e': 0.000443860603902874}",35,11,45.191254331063384,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,False,"{'a': 0.3, 'e': 0.00043944411710184546}",25,11,25.32602328880828,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,False,"{'a': 0.3, 'e': 0.0004350715750787321}",20,0,30.470338170500177,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
775,False,"{'a': 0.3, 'e': 0.00043074254057568753}",20,12,14.450384985409901,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
776,False,"{'a': 0.3, 'e': 0.00042645658068565383}",20,6,21.676011694472095,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
777,False,"{'a': 0.3, 'e': 0.00042221326680906996}",20,12,11.501798366760223,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
778,False,"{'a': 0.3, 'e': 0.0004180121746110129}",25,0,44.41006176424755,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
779,False,"{'a': 0.3, 'e': 0.00041385288397876164}",25,12,25.695266013456447,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
780,False,"{'a': 0.3, 'e': 0.0004097349789797868}",35,18,36.15860193271518,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
781,False,"{'a': 0.3, 'e': 0.0004056580478201565}",30,18,22.38039784620404,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
782,False,"{'a': 0.3, 'e': 0.0004016216828033581}",35,18,31.077721039725613,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
783,False,"{'a': 0.3, 'e': 0.00039762548028952584}",25,7,33.92528411808061,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
784,False,"{'a': 0.3, 'e': 0.0003936690406550783}",35,21,25.65669114002131,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
785,False,"{'a': 0.3, 'e': 0.0003897519682527545}",20,8,22.177402126213874,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
786,False,"{'a': 0.3, 'e': 0.00038587387137205064}",20,5,25.33641997068768,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
787,False,"{'a': 0.3, 'e': 0.0003820343622000467}",20,0,30.775044284751502,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
788,False,"{'a': 0.3, 'e': 0.00037823305678262576}",30,20,18.79688758401088,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
789,False,"{'a': 0.3, 'e': 0.000374469574986078}",25,13,18.904627110979575,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
790,False,"{'a': 0.3, 'e': 0.0003707435404590882}",25,5,30.700673031584973,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
791,False,"{'a': 0.3, 'e': 0.0003670545805950984}",20,0,30.10181839983345,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
792,False,"{'a': 0.3, 'e': 0.0003634023264950478}",35,23,20.827601592217874,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
793,False,"{'a': 0.3, 'e': 0.00035978641293048274}",30,16,25.311858185943215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
794,False,"{'a': 0.3, 'e': 0.00035620647830703403}",25,12,22.863460719047705,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
795,False,"{'a': 0.3, 'e': 0.00035266216462825575}",25,3,-6.3674625280947,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
796,False,"{'a': 0.3, 'e': 0.0003491531174598264}",25,15,19.33626623555518,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
797,False,"{'a': 0.3, 'e': 0.00034567898589410494}",30,19,22.072790540904588,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
798,False,"{'a': 0.3, 'e': 0.0003422394225150394}",25,14,23.556390137722808,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
799,False,"{'a': 0.3, 'e': 0.0003388340833634261}",20,15,11.966743788629504,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
800,False,"{'a': 0.3, 'e': 0.00033546262790251185}",30,20,20.64316529840995,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
801,False,"{'a': 0.3, 'e': 0.00033212471898394095}",20,0,32.62100349847047,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
802,False,"{'a': 0.3, 'e': 0.00032882002281403995}",25,3,35.697525925559525,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
803,False,"{'a': 0.3, 'e': 0.00032554820892043796}",20,3,24.3786222795076,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
804,False,"{'a': 0.3, 'e': 0.00032230895011901855}",20,11,17.568626696147895,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
805,False,"{'a': 0.3, 'e': 0.00031910192248120326}",25,0,28.11374442458765,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
806,False,"{'a': 0.3, 'e': 0.00031592680530155527}",25,0,35.109863037951484,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
807,False,"{'a': 0.3, 'e': 0.00031278328106571065}",20,8,20.018733147737365,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
808,False,"{'a': 0.3, 'e': 0.0003096710354186262}",20,8,20.336164784338422,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
809,False,"{'a': 0.3, 'e': 0.0003065897571331437}",25,15,17.449652377659113,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
810,False,"{'a': 0.3, 'e': 0.0003035391380788668}",25,7,30.84750515251231,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
811,False,"{'a': 0.3, 'e': 0.0003005188731913479}",35,20,29.710267751409166,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
