trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.7, 'e': 0.3906278353585211}",20,0,-57.31119961331808,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
95,False,"{'a': 0.7, 'e': 0.3867410234545012}",25,15,-89.26172415355742,"{0: 5, 1: 3, 2: 0, 3: 0, 4: 2}",1
96,False,"{'a': 0.7, 'e': 0.38289288597511206}",25,0,31.120405576888484,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.7, 'e': 0.37908303810339883}",25,0,-44.388545679294054,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.7, 'e': 0.37531109885139957}",25,0,-127.23191782890459,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
99,False,"{'a': 0.7, 'e': 0.3715766910220457}",20,3,1.6504158441754386,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.36787944117144233}",30,20,-8.766197020898694,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.7, 'e': 0.3642189795715233}",20,4,-94.83307025773826,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
102,False,"{'a': 0.7, 'e': 0.3605949401730783}",20,14,8.573614150064188,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.3570069605691474}",20,0,-18.992986795132758,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
104,False,"{'a': 0.7, 'e': 0.35345468195878016}",20,10,-49.80761809251324,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.7, 'e': 0.3499377491111553}",20,0,-19.767451763356263,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
106,False,"{'a': 0.7, 'e': 0.3464558103300574}",25,0,-16.651844487432143,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
107,False,"{'a': 0.7, 'e': 0.34300851741870664}",35,27,5.656279517700271,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.3395955256449391}",20,0,-75.17430751467066,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
109,False,"{'a': 0.7, 'e': 0.33621649370673334}",20,0,-6.006332591138825,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.7, 'e': 0.33287108369807955}",30,0,-102.09967957515445,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 3}",0
111,False,"{'a': 0.7, 'e': 0.32955896107518906}",20,13,-29.967232712081294,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.7, 'e': 0.32627979462303947}",30,0,-38.60409176240316,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.7, 'e': 0.3230332564222529}",25,12,22.073596440582275,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.31981902181630384}",25,0,-69.41248081330636,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
115,False,"{'a': 0.7, 'e': 0.31663676937905316}",20,9,-69.12287710719782,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
116,False,"{'a': 0.7, 'e': 0.3134861808826053}",25,0,-52.72997428434161,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
117,False,"{'a': 0.7, 'e': 0.31036694126548503}",35,0,-160.08540549261454,"{0: 27, 1: 1, 2: 3, 3: 0, 4: 4}",0
118,False,"{'a': 0.7, 'e': 0.30727873860113125}",20,0,-58.708826688499464,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
119,False,"{'a': 0.7, 'e': 0.3042212640667041}",25,14,-25.085454026922697,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.30119421191220214}",25,16,16.27111939273583,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.2981972794298874}",35,17,-36.515504803574025,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.7, 'e': 0.2952301669240142}",30,9,-42.68366664852076,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.7, 'e': 0.2922925776808594}",20,14,10.076036185403511,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.2893842179390506}",20,0,-32.447074348557294,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.7, 'e': 0.2865047968601901}",20,1,-33.64767935892693,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
126,False,"{'a': 0.7, 'e': 0.2836540264997704}",20,0,-18.22182422228618,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.7, 'e': 0.2808316217783798}",30,18,-4.210318263289851,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
